nitrogen_addition,growth_rate
63,6006.412487
54,2921
69,3852.616027
59,3981
39,1521
9,581
56,2564.28713
54,2921
34,1644.772082
22,484
7,549
68,3032.263471
11,121
60,3605
69,4194
63,3226.369262
46,2116
60,3605
76,4651.430165
75,5630
87,8069
92,7897
60,2390.492446
61,3726
77,5929
16,194.0117205
69,3852.616027
64,4096
93,8649
79,5016.176717
75,5625
67,4989
2,4
67,3922
14,255.193069
143,20449
113,12769
160,25600
158,19381.22929
138,19044
126,15876
111,9735.983039
172,29584
115,8228.598964
164,44789.07372
173,29362
167,28389
150,13632.43364
164,26329
180,31833
179,32041
191,36481
